Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-22 14:04:00,0.2710,0.7290,-0.124,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:05:00,0.2675,0.7325,-0.0035,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:06:00,0.2433,0.7567,-0.0242,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:07:00,0.2120,0.7880,-0.0313,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:08:00,0.0867,0.9133,-0.1253,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:09:00,0.0617,0.9383,-0.025,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:10:00,0.0590,0.9410,-0.0027,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:11:00,0.0230,0.9770,-0.036,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:12:00,0.0050,0.9950,-0.018,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:13:00,0.0050,0.9950,0.0,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:14:00,0.0050,0.9950,0.0,DOWN,DOWN,Correct,KXBTC15M-26FEB221715-15,150219
2026-02-22 14:15:00,0.5500,0.4500,0,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:16:00,0.6200,0.3800,0.07,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:17:00,0.6460,0.3540,0.026,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:18:00,0.6450,0.3550,-0.001,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:19:00,0.6375,0.3625,-0.0075,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:20:00,0.6370,0.3630,-0.0005,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:21:00,0.6710,0.3290,0.034,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:22:00,0.8400,0.1600,0.169,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:23:00,0.9650,0.0350,0.125,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:24:00,0.9850,0.0150,0.02,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:25:00,0.9683,0.0317,-0.0167,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:26:00,0.9400,0.0600,-0.0283,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:27:00,0.9725,0.0275,0.0325,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:28:00,0.9890,0.0110,0.0165,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:29:00,0.9950,0.0050,0.006,UP,UP,Correct,KXBTC15M-26FEB221730-30,135026
2026-02-22 14:30:00,0.3750,0.6250,0,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:31:00,0.3700,0.6300,-0.005,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:32:00,0.3017,0.6983,-0.0683,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:33:00,0.3167,0.6833,0.015,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:34:00,0.2550,0.7450,-0.0617,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
2026-02-22 14:35:00,0.2933,0.7067,0.0383,DOWN,UP,Incorrect,KXBTC15M-26FEB221745-45,157554
