ticker,asset,contract_open,hour_of_open,opening_pup,momentum_1min,momentum_3min,mean_pup_5min,pup_vol_5min,conviction_spread,volume_log,actual_outcome,target,volume,n_rows,is_clean,prev_open_pup
KXBTC15M-26FEB240100-00,BTC,2026-02-23 21:45:00,21,0.555,0.012499999999999956,0.03399999999999992,0.5731200000000001,0.018820775754468763,0.1100000000000001,11.7739811813543,UP,1.0,129829.0,15,True,0.52
KXBTC15M-26FEB240115-15,BTC,2026-02-23 22:00:00,22,0.425,0.010000000000000009,-0.0675,0.40944,0.059126258126148995,0.15000000000000002,12.37724056445404,UP,1.0,237337.0,15,True,0.555
KXBTC15M-26FEB240130-30,BTC,2026-02-23 22:15:00,22,0.59,-0.02749999999999997,0.025000000000000022,0.6061,0.04203379592661127,0.17999999999999994,11.98312907421863,UP,1.0,160031.0,15,True,0.425
KXBTC15M-26FEB240145-45,BTC,2026-02-23 22:30:00,22,0.475,0.06900000000000006,-0.05099999999999999,0.52976,0.0833952660526963,0.050000000000000044,11.889627520810507,UP,1.0,145746.0,15,True,0.59
KXBTC15M-26FEB240200-00,BTC,2026-02-23 22:45:00,22,0.48,-0.08599999999999997,-0.2783,0.30464,0.11346584684388514,0.040000000000000036,11.82752450357102,DOWN,0.0,136970.0,15,True,0.475
KXBTC15M-26FEB240215-15,BTC,2026-02-23 23:00:00,23,0.525,0.03500000000000003,0.11199999999999999,0.6053999999999999,0.06663929771538711,0.050000000000000044,11.901034151380156,UP,1.0,147418.0,15,True,0.48
KXBTC15M-26FEB240230-30,BTC,2026-02-23 23:15:00,23,0.48,-0.03899999999999998,-0.1225,0.3837,0.08105563521433905,0.040000000000000036,11.858095480294635,DOWN,0.0,141222.0,15,True,0.525
KXBTC15M-26FEB240245-45,BTC,2026-02-23 23:30:00,23,0.545,0.0,-0.04170000000000007,0.4985200000000001,0.042771083689801474,0.09000000000000008,11.905345859557585,DOWN,0.0,148055.0,15,True,0.48
KXBTC15M-26FEB240300-00,BTC,2026-02-23 23:45:00,23,0.49,0.01749999999999996,-0.06,0.43495999999999996,0.05945776988754286,0.020000000000000018,11.834066491165675,UP,1.0,137869.0,15,True,0.545
KXBTC15M-26FEB240315-15,BTC,2026-02-24 00:00:00,0,0.48,0.0,-0.275,0.384,0.10095620832816572,0.040000000000000036,11.783288423651543,UP,1.0,131043.0,15,True,0.49
KXBTC15M-26FEB240330-30,BTC,2026-02-24 00:15:00,0,0.445,-0.06,-0.0016999999999999793,0.39310000000000006,0.048440644091506474,0.10999999999999999,11.854442100050415,UP,1.0,140707.0,15,True,0.48
KXBTC15M-26FEB240345-45,BTC,2026-02-24 00:30:00,0,0.48,-0.011999999999999955,0.18200000000000005,0.60318,0.11396751115997929,0.040000000000000036,11.949262428745461,UP,1.0,154702.0,15,True,0.445
KXBTC15M-26FEB240400-00,BTC,2026-02-24 00:45:00,0,0.275,0.16799999999999998,0.2875,0.47539999999999993,0.11132537895736082,0.44999999999999996,11.73030040982157,UP,1.0,124280.0,15,True,0.48
KXBTC15M-26FEB240415-15,BTC,2026-02-24 01:00:00,1,0.44,0.010000000000000009,-0.09999999999999998,0.42000000000000004,0.04046054868634383,0.12,11.16583303318684,DOWN,0.0,70673.0,15,True,0.275
KXBTC15M-26FEB240430-30,BTC,2026-02-24 01:15:00,1,0.52,-0.009000000000000008,-0.10000000000000003,0.4617,0.04470525696156998,0.040000000000000036,11.247513561164176,DOWN,0.0,76688.0,15,True,0.44
KXBTC15M-26FEB240445-45,BTC,2026-02-24 01:30:00,1,0.525,0.018299999999999983,-0.0010000000000000009,0.5293,0.058680627126846546,0.050000000000000044,11.403824629696679,UP,1.0,89663.0,15,True,0.52
KXBTC15M-26FEB240500-00,BTC,2026-02-24 01:45:00,1,0.475,-0.01749999999999996,-0.24669999999999997,0.35716000000000003,0.09545764715306994,0.050000000000000044,11.117984780318277,UP,1.0,67371.0,15,True,0.525
KXBTC15M-26FEB240515-15,BTC,2026-02-24 02:00:00,2,0.48,-0.0032999999999999696,-0.1558,0.39462,0.06902962842142495,0.040000000000000036,11.58678912156705,DOWN,0.0,107665.0,15,True,0.475
KXBTC15M-26FEB240530-30,BTC,2026-02-24 02:15:00,2,0.41,-0.04169999999999996,0.14000000000000007,0.45999999999999996,0.09873072470107773,0.18000000000000005,11.45449094313306,UP,1.0,94323.0,15,True,0.48
KXBTC15M-26FEB240545-45,BTC,2026-02-24 02:30:00,2,0.48,0.027000000000000024,0.14300000000000002,0.5289999999999999,0.07004395762662187,0.040000000000000036,11.180469153715318,DOWN,0.0,71715.0,15,True,0.41
KXBTC15M-26FEB240600-00,BTC,2026-02-24 02:45:00,2,0.56,-0.015000000000000013,-0.06580000000000008,0.51104,0.03894927983929872,0.1200000000000001,11.119823615845462,UP,1.0,67495.0,15,True,0.48
KXBTC15M-26FEB240615-15,BTC,2026-02-24 03:00:00,3,0.495,0.0050000000000000044,0.041000000000000036,0.52238,0.021643511729846427,0.010000000000000009,11.106234605936246,DOWN,0.0,66584.0,15,True,0.56
KXBTC15M-26FEB240630-30,BTC,2026-02-24 03:15:00,3,0.485,-0.025999999999999968,-0.125,0.4356,0.043989089556388875,0.030000000000000027,11.607453520813515,DOWN,0.0,109913.0,15,True,0.495
KXBTC15M-26FEB240645-45,BTC,2026-02-24 03:30:00,3,0.35,0.030000000000000027,0.02100000000000002,0.3392,0.07665872422627447,0.30000000000000004,11.64659934744259,UP,1.0,114301.0,15,True,0.485
KXBTC15M-26FEB240700-00,BTC,2026-02-24 03:45:00,3,0.475,-0.0050000000000000044,-0.09669999999999995,0.42552,0.04032971113211697,0.050000000000000044,11.449048058581468,UP,1.0,93811.0,15,True,0.35
KXBTC15M-26FEB240715-15,BTC,2026-02-24 04:00:00,4,0.485,-0.03249999999999997,-0.23829999999999998,0.36834,0.09542181301987507,0.030000000000000027,11.781424718005235,UP,1.0,130799.0,15,True,0.475
KXBTC15M-26FEB240730-30,BTC,2026-02-24 04:15:00,4,0.485,-0.006000000000000005,-0.012500000000000011,0.46630000000000005,0.057565267305902446,0.030000000000000027,11.574754067593162,UP,1.0,106377.0,15,True,0.485
KXBTC15M-26FEB240745-45,BTC,2026-02-24 04:30:00,4,0.44,0.011299999999999977,-0.05249999999999999,0.39721999999999996,0.05743864204522945,0.12,11.591089485939582,DOWN,0.0,108129.0,15,True,0.485
KXBTC15M-26FEB240800-00,BTC,2026-02-24 04:45:00,4,0.52,-0.027500000000000024,-0.137,0.42378,0.07975159935700349,0.040000000000000036,11.603378412954656,DOWN,0.0,109466.0,15,True,0.44
KXBTC15M-26FEB240815-15,BTC,2026-02-24 05:00:00,5,0.525,0.010000000000000009,0.026699999999999946,0.5404,0.037156372266409415,0.050000000000000044,11.506212986610652,UP,1.0,99330.0,15,True,0.52
KXBTC15M-26FEB240830-30,BTC,2026-02-24 05:15:00,5,0.49,0.0262,-0.05080000000000001,0.45624000000000003,0.07634400041915541,0.020000000000000018,11.310037869555806,DOWN,0.0,81636.0,15,True,0.525
KXBTC15M-26FEB240845-45,BTC,2026-02-24 05:30:00,5,0.52,0.050999999999999934,-0.0867,0.45052000000000003,0.12106562517907384,0.040000000000000036,12.01288223617111,UP,1.0,164864.0,15,True,0.49
KXBTC15M-26FEB240900-00,BTC,2026-02-24 05:45:00,5,0.48,-0.010000000000000009,0.08299999999999996,0.51144,0.07037083486786268,0.040000000000000036,11.555601739250665,DOWN,0.0,104359.0,15,True,0.52
KXBTC15M-26FEB240915-15,BTC,2026-02-24 06:00:00,6,0.36,0.007500000000000007,0.014000000000000012,0.3728000000000001,0.010856334556377682,0.28,11.715833655372572,DOWN,0.0,122495.0,15,True,0.48
KXBTC15M-26FEB240930-30,BTC,2026-02-24 06:15:00,6,0.52,0.02749999999999997,-0.11100000000000004,0.49879999999999997,0.04754278073482872,0.040000000000000036,11.519781905766715,UP,1.0,100687.0,15,True,0.36
KXBTC15M-26FEB240945-45,BTC,2026-02-24 06:30:00,6,0.54,-0.008300000000000085,-0.22000000000000003,0.44817999999999997,0.11130226233100564,0.08000000000000007,12.046912773957512,UP,1.0,170571.0,15,True,0.52
KXBTC15M-26FEB241000-00,BTC,2026-02-24 06:45:00,6,0.475,0.013300000000000034,0.122,0.57222,0.09343113827841337,0.050000000000000044,11.916021101429658,UP,1.0,149644.0,15,True,0.54
KXBTC15M-26FEB241015-15,BTC,2026-02-24 07:00:00,7,0.445,-0.013300000000000034,-0.04999999999999999,0.42898000000000003,0.017850086834522678,0.10999999999999999,11.967002943665705,UP,1.0,157471.0,15,True,0.475
KXBTC15M-26FEB241030-30,BTC,2026-02-24 07:15:00,7,0.465,0.022499999999999964,0.27699999999999997,0.5962400000000001,0.10464745768531598,0.06999999999999995,11.546660002699857,UP,1.0,103430.0,15,True,0.445
KXBTC15M-26FEB241045-45,BTC,2026-02-24 07:30:00,7,0.57,0.012500000000000067,0.015000000000000013,0.5631600000000001,0.021941795733257545,0.1399999999999999,11.59664141801006,DOWN,0.0,108731.0,15,True,0.465
KXBTC15M-26FEB241100-00,BTC,2026-02-24 07:45:00,7,0.745,-0.16200000000000003,-0.21199999999999997,0.5900399999999999,0.08160101960147312,0.49,11.343370072825948,UP,1.0,84403.0,15,True,0.57
KXBTC15M-26FEB241115-15,BTC,2026-02-24 08:00:00,8,0.485,0.0050000000000000044,0.38250000000000006,0.67466,0.18382889435559363,0.030000000000000027,11.849376272790417,UP,1.0,139996.0,15,True,0.745
KXBTC15M-26FEB241130-30,BTC,2026-02-24 08:15:00,8,0.46,0.0016999999999999793,-0.21080000000000002,0.38258000000000003,0.09084519580032838,0.07999999999999996,11.554288113310864,DOWN,0.0,104222.0,15,True,0.485
